Market;Homes;NBA;NFL;MLB;NHL
New York City;7453000;2;2;2;3
Los Angeles;5735000;2;2;2;2
Chicago;3472000;1;1;1;1
Philadelphia;2997000;1;1;1;1
Dallas- Ft. Worth;2963000;1;1;1;1
San Francisco- Oakland-  San Jose;2653000;1;1;1;1
Atlanta;2649000;1;1;1;0
Houston;2570000;1;1;1;0
Washington D.C.;2566000;1;1;1;1
Boston;2490000;1;1;1;1
Phoenix;2158000;1;1;1;1
Seattle - Tacoma;2099000;0;1;1;1
Tampa- St. Pete;2035000;0;1;1;1
Minneapolis- St. Paul;1887000;1;1;1;1
Detroit;1863000;1;1;1;1
Denver;1798000;1;1;1;1
Orlando-Daytona;1731000;1;0;0;0
Miami- Ft. Lauderdale;1693000;1;1;1;1
Cleveland - Akron;1512000;1;1;1;0
Sacramento- Stockton- Modesto;1459000;1;0;0;0
Portland;1315000;1;0;0;0
Charlotte;1291000;1;0;0;0
St. Louis;1239000;0;0;1;1
Raleigh - Durham;1237000;0;0;0;1
Indianapolis;1183000;1;1;0;0
Pittsburgh;1166000;0;1;1;1
San Diego;1132000;0;0;1;0
Baltimore;1130000;0;1;1;0
Nashville;1102000;0;1;0;1
Salt Lake City;1100000;1;0;0;0
San Antonio;1031000;1;0;0;0
Columbus;999000;0;0;0;1
Kansas City;986000;0;1;1;0
Cincinnati;926000;0;1;1;0
Milwaukee;922000;1;1;1;0
Las Vegas;834000;0;0;0;1
Jacksonville;757000;0;1;0;0
Oklahoma City;755000;1;0;0;0
New Orleans;664000;1;1;0;0
Memphis;620000;1;0;0;0
Buffalo;613000;0;1;0;1
Green Bay-Appleton*;456000;0;1;0;0
